Experiment,Sex,SCP ,SCP_ID,Species,Weight
1,male,-7.1,1602,P,4.78
1,male,-6.2,1480,P,3.65
1,male,-8.5,1796,P,4.88
1,male,-12.1,2220,P,3.89
1,male,-12.7,2479,F,1.09
1,male,-11.8,2363,F,1.98
1,male,-7.4,1804,F,1.77
1,male,-8.8,1990,F,1.27
3,male,-9.7,2119,P,7.29
3,male,-6.3,1681,P,6.14
3,male,-10,2138,P,3.75
3,male,-8.2,2054,P,5.72
3,male,-12.7,2479,P,6.82
3,male,-11.8,2363,P,3.56
3,male,-7.4,1804,P,5.55
3,male,-8.8,1990,P,7.48
4,male,-14.7,2625,F,3.14
4,male,-7.3,1631,F,1.83
4,male,-11.9,2280,F,10.86
4,male,-11.1,2122,F,2.39
4,male,-7.1,1602,P,4.78
4,male,-6.2,1480,P,3.84
4,male,-8.5,1796,P,5.92
4,male,-12.1,2220,P,5.4
5,male,-12.7,2468,F,5.39
5,male,-7.3,1728,F,4.36
5,female,-6.5,1677,F,4.77
5,female,-9,1904,F,3.6
5,male,-9.7,2075,P,6.33
5,male,-6.2,1560,P,5.59
5,female,-14.7,2723,P,7.48
5,female,-6.5,1584,P,5.16
6,female,-12.3,2470,P,7.97
6,female,-12.3,2407,P,16.03
6,female,-7.5,1806,P,13.86
6,female,-13,2412,P,8.81
